duppl,AphiaID,Taxon,PhytoplanktonType
FALSE,107190,Porcellana platycheles,
FALSE,107232,Pagurus bernhardus,
FALSE,107254,Nephrops norvegicus larva,
FALSE,107276,Cancer pagurus,
FALSE,107277,Corystes cassivelaunus,
FALSE,107345,Macropodia rostrata,
FALSE,107379,Callinectes sapidus,
FALSE,107381,Carcinus maenas,
FALSE,107388,Liocarcinus holsatus,
FALSE,107398,Necora puber,
FALSE,107506,Eualus occultus,
FALSE,107507,Eualus pusiolus,
FALSE,107551,Crangon allmanni,
FALSE,107552,Crangon crangon,
FALSE,107557,Philocheras bispinosus,
FALSE,107647,Pandalina brevirostris,
FALSE,107677,Pasiphaea sivado,
FALSE,107689,Processa nouveli,
FALSE,107737,Jaxea nocturna,
FALSE,107739,Upogebia deltaura,
FALSE,107742,Upogebia stellata,
FALSE,108343,Processa modica modica,
FALSE,108344,Processa nouveli holthuisi,
FALSE,109390,Dinophysiales,Dinoflagellate
FALSE,109391,Gonyaulacales,Dinoflagellate
FALSE,109392,Gymnodiniales,Dinoflagellate
FALSE,109393,Noctilucales,Dinoflagellate
FALSE,109394,Peridiniales,Dinoflagellate
TRUE,109394,Peridiniales,Dinoflagellate
TRUE,109394,Peridiniales,Dinoflagellate
FALSE,109396,Prorocentrales,Dinoflagellate
FALSE,109406,Dinophysiaceae,Dinoflagellate
TRUE,109406,Dinophysiaceae,Dinoflagellate
TRUE,109406,Dinophysiaceae,Dinoflagellate
FALSE,109408,Goniodomataceae,Dinoflagellate
FALSE,109410,Gymnodiniaceae,Dinoflagellate
FALSE,109413,Polykrikaceae,Dinoflagellate
FALSE,109415,Warnowiaceae,Dinoflagellate
FALSE,109418,Noctilucaceae,Dinoflagellate
FALSE,109421,Ceratiaceae,Dinoflagellate
FALSE,109425,Cladopyxidaceae,Dinoflagellate
FALSE,109428,Gonyaulacaceae,Dinoflagellate
FALSE,109431,Ostreopsidaceae,Dinoflagellate
FALSE,109432,Oxytoxaceae,Dinoflagellate
FALSE,109433,Peridiniaceae,Dinoflagellate
FALSE,109435,Protoperidiniaceae,Dinoflagellate
FALSE,109436,Pyrophacaceae,Dinoflagellate
FALSE,109438,Thoracosphaeraceae,Dinoflagellate
FALSE,109442,Prorocentraceae,Dinoflagellate
FALSE,109444,Pyrocystaceae,Dinoflagellate
FALSE,109458,Pseliodinium,Dinoflagellate
FALSE,109459,Amphisolenia,Dinoflagellate
FALSE,109462,Dinophysis,Dinoflagellate
TRUE,109462,Dinophysis,Dinoflagellate
TRUE,109462,Dinophysis,Dinoflagellate
FALSE,109463,Histioneis,Dinoflagellate
FALSE,109464,Ornithocercus,Dinoflagellate
FALSE,109466,Phalacroma,Dinoflagellate
FALSE,109467,Sinophysis,Dinoflagellate
FALSE,109468,Fragilidium,Dinoflagellate
FALSE,109470,Alexandrium ,Dinoflagellate
TRUE,109470,Alexandrium ,Dinoflagellate
TRUE,109470,Alexandrium ,Dinoflagellate
FALSE,109473,Amphidinium,Dinoflagellate
FALSE,109474,Cochlodinium,Dinoflagellate
FALSE,109475,Gymnodinium,Dinoflagellate
TRUE,109475,Gymnodinium,Dinoflagellate
TRUE,109475,Gymnodinium,Dinoflagellate
FALSE,109476,Gyrodinium,Dinoflagellate
TRUE,109476,Gyrodinium,Dinoflagellate
TRUE,109476,Gyrodinium,Dinoflagellate
FALSE,109477,Katodinium,Dinoflagellate
FALSE,109478,Ptychodiscus,Dinoflagellate
FALSE,109479,Torodinium,Dinoflagellate
FALSE,109485,Polykrikos,Dinoflagellate
FALSE,109486,Oxyrrhis,Dinoflagellate
FALSE,109487,Pronoctiluca,Dinoflagellate
FALSE,109490,Nematodinium,Dinoflagellate
FALSE,109491,Warnowia,Dinoflagellate
FALSE,109492,Woloszynskia,Dinoflagellate
FALSE,109499,Kofoidinium,Dinoflagellate
FALSE,109500,Noctiluca,Dinoflagellate
FALSE,109502,Spatulodinium,Dinoflagellate
FALSE,109504,Pentapharsodinium,Dinoflagellate
FALSE,109505,Preperidinium,Dinoflagellate
FALSE,109506,Ceratium,Dinoflagellate
TRUE,109506,Ceratium,Dinoflagellate
TRUE,109506,Ceratium,Dinoflagellate
FALSE,109507,Ceratocorys spp.,Dinoflagellate
FALSE,109508,Ceratoperidinium,Dinoflagellate
FALSE,109509,Cladopyxis,Dinoflagellate
FALSE,109510,Micracanthodinium,Dinoflagellate
FALSE,109511,Micranthodinium,Dinoflagellate
FALSE,109512,Palaeophalacroma,Dinoflagellate
FALSE,109515,Diplopsalis,Dinoflagellate
FALSE,109516,Diplosalsis,Dinoflagellate
FALSE,109517,Amphidoma,Dinoflagellate
FALSE,109518,Amylax,Dinoflagellate
FALSE,109519,Gonyaulax,Dinoflagellate
TRUE,109519,Gonyaulax,Dinoflagellate
TRUE,109519,Gonyaulax,Dinoflagellate
FALSE,109524,Ostreopsis,Dinoflagellate
FALSE,109525,Adenoides,Dinoflagellate
FALSE,109526,Centrodinium,Dinoflagellate
FALSE,109527,Corythodinium,Dinoflagellate
FALSE,109528,Oxytoxum,Dinoflagellate
FALSE,109529,Pavillardinium,Dinoflagellate
FALSE,109530,Roscoffia,Dinoflagellate
FALSE,109533,Calciodinellum,Dinoflagellate
FALSE,109534,Coolia  ,Dinoflagellate
FALSE,109537,Diplopsalopsis,Dinoflagellate
FALSE,109538,Glenodinium,Dinoflagellate
FALSE,109540,Heterocapsa,Dinoflagellate
FALSE,109541,Kryptoperidinium,Dinoflagellate
FALSE,109542,Oblea,Dinoflagellate
FALSE,109543,Peridiniella,Dinoflagellate
FALSE,109545,Scrippsiella,Dinoflagellate
FALSE,109548,Blepharocysta,Dinoflagellate
FALSE,109549,Peridinium,Dinoflagellate
FALSE,109550,Podolampas,Dinoflagellate
FALSE,109553,Protoperidinium,Dinoflagellate
TRUE,109553,Protoperidinium,Dinoflagellate
TRUE,109553,Protoperidinium,Dinoflagellate
FALSE,109555,Pyrophacus,Dinoflagellate
FALSE,109556,Amphidiniopsis,Dinoflagellate
FALSE,109557,Thecadinium,Dinoflagellate
FALSE,109559,Goniodoma,Dinoflagellate
FALSE,109560,Triadinium,Dinoflagellate
FALSE,109564,Mesoporos,Dinoflagellate
FALSE,109566,Prorocentrum,Dinoflagellate
TRUE,109566,Prorocentrum,Dinoflagellate
TRUE,109566,Prorocentrum,Dinoflagellate
FALSE,109567,Protoceratium,Dinoflagellate
FALSE,109569,Dissodinium,Dinoflagellate
FALSE,109571,Pyrocystis,Dinoflagellate
FALSE,109575,Paulsenella chaetoceratis,Dinoflagellate
FALSE,109585,Minuscula bipes,Dinoflagellate
FALSE,109603,Dinophysis acuminata,Dinoflagellate
FALSE,109604,Dinophysis acuta,Dinoflagellate
FALSE,109612,Dinophysis caudata,Dinoflagellate
FALSE,109616,Dinophysis dens,Dinoflagellate
FALSE,109624,Dinophysis fortii,Dinoflagellate
FALSE,109627,Dinophysis hastata,Dinoflagellate
FALSE,109637,Dinophysis norvegica,Dinoflagellate
FALSE,109638,Dinophysis odiosa,Dinoflagellate
FALSE,109649,Dinophysis pulchella,Dinoflagellate
FALSE,109651,Dinophysis punctata,Dinoflagellate
FALSE,109659,Dinophysis skagii,Dinoflagellate
FALSE,109662,Dinophysis tripos,Dinoflagellate
FALSE,109693,Ornithocercus magnificus,Dinoflagellate
FALSE,109705,Fragilidium subglobosum,Dinoflagellate
FALSE,109707,Alexandrium affine,Dinoflagellate
FALSE,109710,Alexandrium leei,Dinoflagellate
FALSE,109711,Alexandrium minutum,Dinoflagellate
FALSE,109712,Alexandrium ostenfeldii,Dinoflagellate
FALSE,109713,Alexandrium pseudogonyaulax,Dinoflagellate
FALSE,109714,Alexandrium tamarense,Dinoflagellate
FALSE,109716,Achradina pulchra,Dinoflagellate
FALSE,109717,Actiniscus pentasterias,Dinoflagellate
FALSE,109718,Amphidinium acutissimum,Dinoflagellate
FALSE,109723,Amphidinium carterae,Dinoflagellate
FALSE,109726,Amphidinium crassum,Dinoflagellate
FALSE,109731,Amphidinium herdmanii,Dinoflagellate
FALSE,109740,Amphidinium latum,Dinoflagellate
FALSE,109741,Amphidinium longum,Dinoflagellate
FALSE,109745,Amphidinium operculatum,Dinoflagellate
FALSE,109754,Amphidinium sphenoides,Dinoflagellate
FALSE,109766,Cochlodinium helicoides,Dinoflagellate
FALSE,109773,Cochlodinium pupa,Dinoflagellate
FALSE,109777,Gymnodinium abbreviatum,Dinoflagellate
FALSE,109784,Gymnodinium catenatum,Dinoflagellate
FALSE,109785,Gymnodinium chlorophorum,Dinoflagellate
FALSE,109790,Gymnodinium diploconus,Dinoflagellate
FALSE,109791,Gymnodinium elongatum,Dinoflagellate
FALSE,109800,Gymnodinium gracile,Dinoflagellate
FALSE,109802,Gymnodinium halophilum,Dinoflagellate
FALSE,109809,Gymnodinium lohmannii,Dinoflagellate
FALSE,109819,Gymnodinium ostenfeldii,Dinoflagellate
FALSE,109825,Gymnodinium pygmaeum,Dinoflagellate
FALSE,109826,Gymnodinium rhomboides,Dinoflagellate
FALSE,109831,Gymnodinium simplex,Dinoflagellate
FALSE,109835,Gymnodinium variabile,Dinoflagellate
FALSE,109837,Gymnodinium vestificii,Dinoflagellate
FALSE,109843,Gyrodinium britannicum,Dinoflagellate
FALSE,109844,Gyrodinium calyptoglyphe,Dinoflagellate
FALSE,109851,Gyrodinium dominans,Dinoflagellate
FALSE,109852,Gyrodinium estuariale,Dinoflagellate
FALSE,109854,Gyrodinium flagellare,Dinoflagellate
FALSE,109856,Gyrodinium fusiforme,Dinoflagellate
FALSE,109859,Gyrodinium lachryma,Dinoflagellate
FALSE,109870,Gyrodinium pellucidum,Dinoflagellate
FALSE,109871,Gyrodinium pepo,Dinoflagellate
FALSE,109876,Gyrodinium spirale,Dinoflagellate
FALSE,109878,Gyrodinium undulans,Dinoflagellate
