AphiaID,Taxon,ZooHabitat
110258,Protoperidinium subicurvipes,
110259,Protoperidinium subinerme,
110260,Protoperidinium thorianum,
110266,Pyrophacus horologicum,
110273,Thecadinium kofoidii,
110284,Oxyphysis oxytoxoides,
110291,Prorocentrum aporum,
110293,Prorocentrum balticum,
110295,Prorocentrum compressum,
110298,Prorocentrum dentatum,
110300,Prorocentrum gracile,
110301,Prorocentrum lima,
110302,Prorocentrum maximum,
110303,Prorocentrum micans,
110304,Prorocentrum minimum,
110310,Prorocentrum redfieldii,
110311,Prorocentrum rostratum,
110312,Prorocentrum rotundatum,
110314,Prorocentrum scutellum,
110316,Prorocentrum triestinum,
110321,Protoceratium reticulatum,
110324,Dissodinium pseudocalani,
110325,Dissodinium pseudolunula,
110326,Dissodium asymmetricum,
110328,Pyrocystis fusiformis,
110332,Pyrocystis noctiluca,
128805,Ditrichocorycaeus anglicus,Holoplankton
110427,Pseudocuma,NYA
110487,Diastylis rathkei,NYA
110652,Eutreptiella gymnastica,
129341,Magelona,Holoplankton
110678,Stylocheiron,NYA
129491,Harmothoe,Holoplankton
110690,Meganyctiphanes norvegica,NYA
129715,Tomopteris,Holoplankton
131554,Tomopteris helgolandica,Holoplankton
131568,Tomopteris septentrionalis,Holoplankton
110722,Cheilostomatida,NYA
134941,Keratella,Holoplankton
115057,Prymnesiophyceae,
115058,Mischococcales,
115059,Coccosphaerales,
115060,Isochrysidales,
115061,Prymnesiales,
115063,Pleurochloridaceae,
115070,Gephyrocapsaceae,
115073,Prymnesiaceae,
115075,Meringosphaera,
115082,Pontosphaera,
115086,Emiliania,
115088,Phaeocystis,
115090,Chrysochromulina,
115104,Emiliania huxleyi,
115106,Phaeocystis pouchetii,
115116,Chrysochromulina ericina,
115119,Chrysochromulina hirta,
115126,Chrysochromulina parkeae,
115127,Chrysochromulina polylepis,
115128,Chrysochromulina pringsheimii,
115129,Chrysochromulina spinifera,
134958,Synchaeta,Holoplankton
134992,Keratella quadrata,Holoplankton
115273,Clytemnestra,NYA
135305,Pelagia noctiluca,Holoplankton
135335,Physonectae,Holoplankton
115351,Tigriopus,NYA
135338,Diphyidae,Holoplankton
